2024-10-22 10:17:34,009 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-22 10:17:34,010 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-22 10:17:40,888 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 35
2024-10-22 10:17:40,943 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 36
2024-10-22 10:17:40,968 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 19
2024-10-22 10:17:40,994 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 37
2024-10-22 10:17:41,046 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 38
2024-10-22 10:17:41,068 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 20
2024-10-22 10:17:41,101 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 39
2024-10-22 10:17:41,153 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 40
2024-10-22 10:17:41,171 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 21
2024-10-22 10:17:41,204 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 41
2024-10-22 10:17:41,260 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 42
2024-10-22 10:17:41,275 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 22
2024-10-22 10:17:41,310 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 43
2024-10-22 10:17:41,361 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 44
2024-10-22 10:17:41,377 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 23
2024-10-22 10:17:41,412 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 45
2024-10-22 10:17:41,462 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 46
2024-10-22 10:17:41,481 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 24
2024-10-22 10:17:41,518 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 47
2024-10-22 10:17:41,571 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 48
2024-10-22 10:17:41,581 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 25
2024-10-22 10:17:41,623 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 49
2024-10-22 10:17:41,678 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 50
2024-10-22 10:17:41,683 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 26
2024-10-22 10:17:41,731 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 51
2024-10-22 10:17:41,781 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 52
2024-10-22 10:17:41,786 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 27
2024-10-22 10:17:41,832 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 53
2024-10-22 10:17:41,885 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 54
2024-10-22 10:17:41,887 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 28
2024-10-22 10:17:41,938 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 55
2024-10-22 10:17:41,990 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 56
2024-10-22 10:17:41,990 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 29
2024-10-22 10:17:42,044 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 57
2024-10-22 10:17:42,092 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 30
2024-10-22 10:17:42,099 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 58
2024-10-22 10:17:42,153 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 59
2024-10-22 10:17:42,196 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 31
2024-10-22 10:17:42,207 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 60
2024-10-22 10:17:42,261 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 61
2024-10-22 10:17:42,299 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 32
2024-10-22 10:17:42,313 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 62
2024-10-22 10:17:42,365 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 63
2024-10-22 10:17:42,404 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 33
2024-10-22 10:17:42,420 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 64
2024-10-22 10:17:42,470 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 65
2024-10-22 10:17:42,508 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 34
2024-10-22 10:17:42,524 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 66
2024-10-22 10:17:42,576 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 67
2024-10-22 10:17:42,613 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 35
2024-10-22 10:17:42,630 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 68
2024-10-22 10:17:42,685 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 69
2024-10-22 10:17:42,713 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 36
2024-10-22 10:17:42,737 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 70
2024-10-22 10:17:42,792 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 71
2024-10-22 10:17:42,817 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 37
2024-10-22 10:17:42,846 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 72
2024-10-22 10:17:42,901 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 73
2024-10-22 10:17:42,920 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 38
2024-10-22 10:17:42,953 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 74
2024-10-22 10:17:43,008 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 75
2024-10-22 10:17:43,020 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 39
2024-10-22 10:17:43,062 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 76
2024-10-22 10:17:43,113 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 77
2024-10-22 10:17:43,124 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 40
2024-10-22 10:17:43,163 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 78
2024-10-22 10:17:43,217 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 79
2024-10-22 10:17:43,229 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 41
2024-10-22 10:17:43,271 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 80
2024-10-22 10:17:43,321 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 81
2024-10-22 10:17:43,332 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 42
2024-10-22 10:17:43,375 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 82
2024-10-22 10:17:43,429 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 83
2024-10-22 10:17:43,436 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 43
2024-10-22 10:17:43,481 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 84
2024-10-22 10:17:43,534 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 85
2024-10-22 10:17:43,539 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 44
2024-10-22 10:17:43,587 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 86
2024-10-22 10:17:43,638 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 87
2024-10-22 10:17:43,643 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 45
2024-10-22 10:17:43,692 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 88
2024-10-22 10:17:43,746 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 89
2024-10-22 10:17:43,747 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 46
2024-10-22 10:17:43,801 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 90
2024-10-22 10:17:43,849 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 47
2024-10-22 10:17:43,854 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 91
2024-10-22 10:17:43,908 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 92
2024-10-22 10:17:43,950 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 48
2024-10-22 10:17:43,962 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 93
2024-10-22 10:17:44,017 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 94
2024-10-22 10:17:44,017 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-22 10:17:44,054 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 49
2024-10-22 10:17:44,068 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 95
2024-10-22 10:17:44,120 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 96
2024-10-22 10:17:44,158 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 50
2024-10-22 10:17:44,172 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 97
2024-10-22 10:17:44,224 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 98
2024-10-22 10:17:44,260 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 51
2024-10-22 10:17:44,277 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 99
2024-10-22 10:17:44,327 - INFO - Nachricht an ('192.168.2.122', 56494) gesendet: Server Nachricht 100
2024-10-22 10:17:44,363 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 52
2024-10-22 10:17:44,467 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 53
2024-10-22 10:17:44,571 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 54
2024-10-22 10:17:44,676 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 55
2024-10-22 10:17:44,778 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 56
2024-10-22 10:17:44,881 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 57
2024-10-22 10:17:44,985 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 58
2024-10-22 10:17:45,085 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 59
2024-10-22 10:17:45,188 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 60
2024-10-22 10:17:45,290 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 61
2024-10-22 10:17:45,393 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 62
2024-10-22 10:17:45,496 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 63
2024-10-22 10:17:45,601 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 64
2024-10-22 10:17:45,706 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 65
2024-10-22 10:17:45,807 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 66
2024-10-22 10:17:45,910 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 67
2024-10-22 10:17:46,011 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 68
2024-10-22 10:17:46,113 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 69
2024-10-22 10:17:46,218 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 70
2024-10-22 10:17:46,321 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 71
2024-10-22 10:17:46,423 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 72
2024-10-22 10:17:46,528 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 73
2024-10-22 10:17:46,631 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 74
2024-10-22 10:17:46,736 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 75
2024-10-22 10:17:46,839 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 76
2024-10-22 10:17:46,944 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 77
2024-10-22 10:17:47,048 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 78
2024-10-22 10:17:47,148 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 79
2024-10-22 10:17:47,250 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 80
2024-10-22 10:17:47,354 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 81
2024-10-22 10:17:47,456 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 82
2024-10-22 10:17:47,558 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 83
2024-10-22 10:17:47,662 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 84
2024-10-22 10:17:47,763 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 85
2024-10-22 10:17:47,867 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 86
2024-10-22 10:17:47,972 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 87
2024-10-22 10:17:48,072 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 88
2024-10-22 10:17:48,173 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 89
2024-10-22 10:17:48,273 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 90
2024-10-22 10:17:48,377 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 91
2024-10-22 10:17:48,478 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 92
2024-10-22 10:17:48,579 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 93
2024-10-22 10:17:48,684 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 94
2024-10-22 10:17:48,786 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 95
2024-10-22 10:17:48,888 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 96
2024-10-22 10:17:48,992 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 97
2024-10-22 10:17:49,018 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-22 10:17:49,094 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 98
2024-10-22 10:17:49,195 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 99
2024-10-22 10:17:49,300 - INFO - Empfangene Nachricht von ('192.168.2.122', 56494): 100
2024-10-22 10:17:54,021 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-22 10:17:54,392 - INFO - Verbindung mit ('192.168.2.122', 56494) geschlossen.
2024-10-22 10:17:55,720 - INFO - Server wird heruntergefahren.
