2024-10-15 20:01:02,059 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:02,061 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:07,655 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 47
2024-10-15 20:01:07,663 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 5
2024-10-15 20:01:07,665 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 48
2024-10-15 20:01:07,676 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 49
2024-10-15 20:01:07,689 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 50
2024-10-15 20:01:07,701 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 51
2024-10-15 20:01:07,713 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 52
2024-10-15 20:01:07,724 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 53
2024-10-15 20:01:07,734 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 54
2024-10-15 20:01:07,745 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 55
2024-10-15 20:01:07,756 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 56
2024-10-15 20:01:07,766 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 57
2024-10-15 20:01:07,770 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 6
2024-10-15 20:01:07,777 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 58
2024-10-15 20:01:07,790 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 59
2024-10-15 20:01:07,803 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 60
2024-10-15 20:01:07,816 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 61
2024-10-15 20:01:07,829 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 62
2024-10-15 20:01:07,841 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 63
2024-10-15 20:01:07,852 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 64
2024-10-15 20:01:07,862 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 65
2024-10-15 20:01:07,874 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 66
2024-10-15 20:01:07,881 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 7
2024-10-15 20:01:07,887 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 67
2024-10-15 20:01:07,899 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 68
2024-10-15 20:01:07,909 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 69
2024-10-15 20:01:07,921 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 70
2024-10-15 20:01:07,932 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 71
2024-10-15 20:01:07,942 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 72
2024-10-15 20:01:07,953 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 73
2024-10-15 20:01:07,964 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 74
2024-10-15 20:01:07,974 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 75
2024-10-15 20:01:07,985 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 76
2024-10-15 20:01:07,988 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 8
2024-10-15 20:01:07,996 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 77
2024-10-15 20:01:08,006 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 78
2024-10-15 20:01:08,017 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 79
2024-10-15 20:01:08,028 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 80
2024-10-15 20:01:08,038 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 81
2024-10-15 20:01:08,049 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 82
2024-10-15 20:01:08,060 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 83
2024-10-15 20:01:08,070 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 84
2024-10-15 20:01:08,082 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 85
